A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,D5,ROE,EPS
27.425,227.705,225.24,1.49,1.18,4.935,34.185,2695297,0.38,77.235,577,6,4,34,22,7,35.2,65.05,43.61,416.7825,9.48,18.495,95.255,0.433,11.49,4.33
25.495,219.295,223.55,1.21,1.465,5.34,25.46,1301554,0.32,62.35,314,26,4,36,9,8.5,26.4,97.05,78.59,53.7345,13.32,17.145,20.825,0.448,4.83,1.32
19.86,299.995,361.305,0.885,1.305,11.25,24.06,1123553,0.235,69.9,253,4,6,35,0,2.5,32.7,75.7,81.69,143.8895,8.105,14.465,34.63,1,7.25,3.3
24.79,330.785,200.365,0.745,0.805,9.11,9.945,828450,0.275,113.255,109,3,5,35,0,3,16.35,71.8,74.41,16.0875,3.435,8.405,46.465,1,3.22,0.54
17.225,496.13,466.6,2.315,1.98,3.845,24.05,1066108,0.15,45.945,171,17,4,35,12.5,2,48,100,90.03,248.66,11.9,20.97,25.875,0.398,4.74,2.22
21.13,375.38,269.345,1.025,1.185,9.29,16.52,208182.5,0.36,77.03,96,2,5,35,0,4,32.3,45.5,33.93,16.21,14.02,19.095,98.34,0.942,6.83,0.99
20.45,353.91,319.78,1.26,2.38,0.885,24.705,238874.5,0.205,40.545,122,14,3,32,10,2,41.1,94.3,24.42,42.08,11.63,21.675,107.16,0.819,6.29,1.57
17.235,609.735,602.375,2.54,0,3.125,40.35,183727,0.18,0,178,8,4,34,2,3,14.7,100,42.93,30.92,33.41,47.74,67.93,0.327,8.29,1.22
12.28,788.03,713.59,1.85,1.04,34.02,2.895,121607.5,0.12,88.665,124,5,3,33,2,2,46,79.5,41.99,16.75,22.935,40.14,25.6,1,3.95,0.8
48.64,229.35,156.08,2.18,0.75,0.455,-15.985,1379877,0.11,121.555,861,8,7,36,49,21,39.9,100,62.73,0.157,48.98,98.57,8.795,0.057,6.96,0.7
28.96,284.34,212.955,1.475,1.475,2.9,8.705,3497415,0.185,62.08,634,58,3,34,18.5,25,35.3,99.9,95.08,96.579,21.445,28.625,-3.575,0.257,1.67,0.34
19.215,452.68,323.975,1.95,1.695,1.715,6.5,1549646,0.21,54.21,562,6,6,36,12.5,21,33.7,28.1,49.88,77.5,15.085,22.555,57.5,0.205,4.27,0.69
21.56,499.09,334.235,2.955,0.98,9.545,11.855,2207196,0.295,92.715,318,2,5,37,3.5,10,31.5,100,52.23,120.564,6.105,10.29,132.405,0.758,1.73,0.45
16.17,536.84,330.7,1.625,1.325,9.795,17.525,1116550,0.15,69.865,532,7,5,36,5,5,34.5,34.5,32.9,69.208,16.35,28.52,22.98,0.61,0.75,0.23
45.65,194.205,160.02,0.965,2.19,5.605,1.395,9031245,0.25,41.68,1268,9,4,34,33.5,8,24.4,86.3,73.3,808.944,9.79,13.275,77.875,0.497,6,2.07
24.86,302.79,220.165,1.45,2,1.77,11.02,1614431,0.195,45.6,738,8,5,36,7.5,10,32.8,76.5,42.58,128.339,19.615,29.315,35.325,0.24,4.38,0.73
22.225,448.295,322.18,2.61,2.1,2.22,10.99,1185004,0.16,43.44,191,30,5,35,1,3,45.2,100,93.65,116.934,16.365,24.805,33.565,0.445,3.02,0.57
9.885,1330.59,854.765,1.395,1.155,0.77,49,148755,0.1,79.905,76,13,7,42,2,4,62.9,100,80.39,10.904,16.64,32.92,20.495,0.38,2.67,0.44
36.855,256.515,131.955,2.24,1.515,5.375,8.785,2361567,0.535,60.465,484,17,4,36,0.5,4,28,78.6,87.12,52.893,9.535,14.09,20.315,0.969,6.21,1.38
25.96,385.315,300.895,1.79,1.12,4.71,5.075,1046738,0.22,83.87,379,10,6,37,16,5,48.4,42.7,72.23,95.511,14.415,26.19,61.59,0.382,6.05,0.96
19.775,537.97,422.21,0.785,1.215,15.22,2.49,383476,0.22,75.54,131,1,4,35,4,6,41.3,96.3,98.06,25.45,11.54,24.945,34.655,0.899,2.45,0.46
34.425,268.645,190.805,1.505,1.37,4.135,20.855,3048443,0.385,66.94,577,6,4,34,22.5,7,35.3,64.2,43.61,484.918,9.235,18.34,94.56,0.437,11.58,4.18
30.535,240.345,196.43,1.255,1.63,4.365,9.465,1383793,0.32,56,314,26,4,36,6,11,25.5,100,78.59,46.683,12.88,16.465,26.15,0.338,3.76,1.01
27.355,345.285,281.22,0.935,1.28,13.755,10.95,1293149,0.25,71.13,253,4,6,35,0,2,34.7,77.5,81.69,165.368,7.205,13.665,43.13,1,6.11,2.74
32.485,441.595,187.28,0.8,0.835,9.99,3.555,901465.5,0.275,109.015,109,3,5,35,0,3,15.1,70.7,74.41,11.751,3.005,7.82,31.39,1,2.27,0.37
22.61,393.76,366.2,2.335,1.895,4.31,15.295,1214109.5,0.16,48.14,171,17,4,35,15.5,2,48,100,90.03,248.66,11.75,20.235,54.785,0.392,3.51,1.59
27.86,305.485,214.81,1.06,1.135,10.5,9.19,232844.5,0.37,80.43,96,2,5,35,0,4,32.3,45.5,33.93,16.21,13.415,18.08,66.675,0.821,4.43,0.63
26.22,289.955,261.38,1.51,3.005,1.2,21.575,324633,0.26,30.325,122,14,3,32,13.5,2,41.1,94.3,24.42,42.08,9.5,16.67,117.27,0.924,6.05,1.54
24.255,259.645,254.055,3.08,0,0.765,26.65,200127,0.17,0,178,8,4,34,4,3,14.7,100,42.93,30.92,32.9,47.52,65.38,0.324,6.92,0.99
17.42,580.005,514.32,2.02,0.95,43.12,5.355,158659,0.15,95.685,124,5,3,33,0,2,46,79.5,41.99,16.75,19.035,34.115,53.58,1,3,0.58
38.095,252.94,193.055,2.165,0.72,0.485,-18.32,1440587,0.105,126.805,861,8,7,36,68.5,21,39.9,100,62.73,0.157,42.96,89.205,13.75,0.057,0.41,0.03
27.685,309.88,212.455,1.425,1.385,2.985,8.26,3570276,0.185,67.13,634,58,3,34,18.5,25,35.3,99.9,95.08,96.579,22.345,29.42,-32.015,0.272,0.02,0.02
20.18,461.64,312.44,2.015,1.81,2.045,27.175,1822021,0.24,50.33,562,6,6,36,14.5,21,33.7,28.1,49.88,77.5,13.25,20.84,34.715,0.189,-0.35,-0.01
22.87,495.125,270.82,2.46,0.745,6.91,-7.3,1962566,0.25,139.5,318,2,5,37,4,10,31.5,100,52.23,120.564,7.915,12.59,57.655,0.508,-6.41,-1.54
15.315,509.12,345.665,1.525,1.055,9.025,-3.36,1023012,0.135,87.175,532,7,5,36,5,5,34.5,34.5,32.9,69.208,17.905,31.59,-3,0.684,0.56,0.17
46.725,203.8,153.805,0.9,1.975,5.88,0.165,9469079,0.25,46.205,1268,9,4,34,30,8,24.4,86.3,73.3,808.944,9.74,13.085,19.91,0.525,4.15,1.5
