A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,D5,ROE,EPS
43.95,190.985,166.825,0.895,1.72,5.685,6.36,8862751,0.23,53.055,1339,7,4,35,46.5,8,23.6,88.6,75.19,652.09,10.82,13.875,-1.91,0.615,4.42,1.54
21.22,315.935,269.27,1.325,1.505,1.67,10.62,1421021.5,0.17,60.995,681,17,5,36,8,10,25.4,79.8,51.06,17.869,21.395,34.41,-12.035,0.227,-1.09,-0.2
20.07,400.38,367.43,2.445,1.665,1.465,-3.935,812927,0.115,54.745,200,14,5,33,0.5,3,24.4,100,97.41,82.617,19.92,32.24,-30.185,0.314,5.37,0.93
9.01,1008.78,940.755,1.205,0.93,0.515,12.865,96095,0.07,98.49,75,1,8,43,0,5,63.6,99.7,77.66,0,26.715,49.85,-35.395,0.369,1.7,0.27
33.13,274.62,185.76,1.925,1.515,5.33,40.56,2116489,0.45,60.76,494,8,4,36,1,4,36.9,80.1,68.45,59.328,10.85,15.89,-9.785,0.584,4.59,1.07
22.215,454.88,399.545,1.27,1.115,6.14,3.035,251973,0.175,81.88,115,20,3,35,4,1,39.6,85.6,6.87,24.14,14.31,21.235,-21.6,0.89,3.99,0.98
25.59,381.2,312.495,1.81,0.875,4.605,-4.03,931604.5,0.195,106.175,378,11,7,38,7.5,5,47.2,48.7,82.39,64.003,15.76,26.66,-10.45,0.417,4.54,0.7
21.83,440.24,389.38,0.745,1.155,11.985,4.115,267940.5,0.16,78.985,133,15,5,35,3,8,33.8,96.2,97.2,0,13.51,32.87,-30.195,0.818,0.47,0.08
35.85,237.065,172.645,1.5,1.035,3.1,12.53,2824442.5,0.32,88.03,679,2,4,34,31,8,36.4,61.5,50.95,337.701,11,21.025,-7.06,0.419,7.55,2.75
24.51,295.345,209.805,1.23,1.265,2.165,11.105,1126334.5,0.25,73.67,336,41,3,35,5,11,32.5,100,77.34,26.372,15.505,21.105,-18.755,0.314,2.87,0.85
28.585,286.52,221.52,0.87,0.99,2.72,10.385,1259747.5,0.235,91.95,284,2,6,36,0,2,30.5,81.5,83.22,88.533,7.74,15.2,-2.31,0.888,5.58,2.4
32.915,423.575,227.74,0.74,0.645,4.005,13.025,762703.5,0.24,141.38,117,1,5,36,0,4,9.3,61.5,73.81,0,4.555,10.085,-15.115,1,2.03,0.29
23.375,385.455,354.115,1.82,1.14,3.095,6.205,833512.5,0.105,79.795,198,6,4,35,21.5,2,42.5,100,89.59,67.82,12.88,23.315,-31.11,0.391,1.33,0.87
28.835,316.24,213.58,1.04,0.865,13.315,22.43,237092,0.35,106.575,102,8,5,35,1.5,4,32.8,46.2,32,16.93,12.67,18.275,1.57,1,5.07,0.73
23.14,326.345,285.76,1.37,2.2,1.215,4.6,322515,0.245,41.42,127,13,4,33,0,2,31.2,94,19.92,23.54,11.365,16.44,0.52,0.901,3.54,0.91
12.145,743.685,738.485,2.965,0,0.465,22.77,172616,0.105,0,194,11,4,34,6,3,20.6,100,43.27,19.78,35.055,54.02,-12.385,0.491,4.36,0.91
24.305,401.87,341.475,2.485,1.29,63.955,22.16,318036.5,0.265,71.385,142,3,3,34,16,2,39.7,93.2,44.27,33.95,11.945,19.97,101.935,1,7.3,1.53
3.925,1067.995,1001.725,1.32,1.7,0.455,41.925,420912.5,0.035,54.285,663,8,5,34,1.5,11,41.5,100,84.97,0,68.13,88.11,-52.295,0.108,-5.26,-0.72
42.195,222.865,171.3,2.75,0.595,0.47,-15.16,1320256.5,0.105,153.745,845,5,8,37,44,20,39.8,100,69.08,0,42.505,89.4,-8.34,0.092,-10.21,-0.79
18.625,538.415,477.465,0.88,1.565,2.535,3.135,556138,0.165,58.22,282,21,7,36,2,25,5.3,57.5,61.96,0,8.85,16.715,-6.235,0.441,-1,-0.1
26.535,327.57,292.615,2.85,1.36,2.505,8.87,22178815,0.16,67.89,6746,14,3,32,94,7,43.7,100,90.45,1714.243,23.59,29.925,-23.5,0.265,2.69,2.64
22.225,353.125,290.97,1.91,1.23,1.675,-0.72,1448583,0.195,73.88,605,6,7,36,4.5,21,34.2,45.2,64.38,45,15.43,25.65,-20.47,0.341,1.41,0.23
18.02,533.28,295.99,2.115,0.5,3.11,-10.825,1338099.5,0.195,184.305,331,9,5,37,4.5,11,27.9,100,61.28,0,10.04,15.54,-30.355,0.441,-3.58,-0.81
13.93,424.575,342.09,1.52,1.055,3.16,7.82,991233,0.135,86.16,544,8,6,37,6,5,31.4,31.4,35.71,0,17.895,31.185,-3.18,0.309,-49.25,-11.95
44.495,187.635,165.695,0.905,1.895,5.895,7.98,9156630,0.24,48.035,1339,7,4,35,43,8,23.6,88.6,75.19,652.09,10.795,13.765,-3.29,0.605,3.76,1.36
20.915,332.495,282.81,1.39,1.61,1.77,14.91,1479074.5,0.18,56.575,681,17,5,36,7,10,25.4,79.8,51.06,17.869,21.37,31.055,-13.985,0.246,1.14,0.17
19.915,389.18,345.895,2.335,1.685,1.63,-4.54,908224,0.135,54.035,200,14,5,33,0.5,3,24.4,100,97.41,82.617,18.965,30.74,-9.625,0.343,2.76,0.5
11.45,716.895,669.2,1.32,0.935,0.54,8.96,99600.5,0.07,97.795,75,1,8,43,0,5,63.6,99.7,77.66,0,25.8,47.93,-31.655,0.175,0.23,0.04
37.77,233.08,158.135,2.025,1.81,6.19,5.055,2354421.5,0.48,50.685,494,8,4,36,0,4,36.9,80.1,68.45,59.328,9.34,14.21,-11.71,0.936,3.55,0.87
21.575,476.335,417.665,1.22,1.09,5.805,9.315,255512.5,0.175,83.5,115,20,3,35,3,1,39.6,85.6,6.87,24.14,12.415,22.98,-25.92,0.516,1.46,0.37
26.6,344.48,279.12,1.605,0.93,4.515,39.285,948725.5,0.2,98.715,378,11,7,38,7,5,47.2,48.7,82.39,64.003,15.345,26.325,-17.715,0.404,2.66,0.43
18.555,567.585,481.175,0.735,1.1,10.09,13.285,247558.5,0.15,83.135,133,15,5,35,2,8,33.8,96.2,97.2,0,14.295,35.06,-29.515,0.625,-3.05,-0.51
35.955,230.365,164.21,1.475,1.03,3.085,9.285,2890797,0.33,88.525,679,2,4,34,28,8,36.4,61.5,50.95,337.701,11.59,22.195,-12.69,0.408,5.51,2.13
23.61,303.78,221.195,1.255,1.515,2.155,24.45,1204437,0.28,60.335,336,41,3,35,7.5,11,32.5,100,77.34,26.372,15.795,20.4,-13.955,0.305,1.71,0.56
28.54,283.21,220.265,0.825,1.015,2.61,17.745,1241220,0.235,89.79,284,2,6,36,0,2,30.5,81.5,83.22,88.533,8.075,15.94,-5.47,0.799,4.04,1.82
33.37,426.01,231.8,0.745,0.655,3.57,12.695,763649,0.24,138.96,117,1,5,36,0,4,9.3,61.5,73.81,0,5.14,10.66,-20.8,1,-5.16,-0.74
23.185,381.335,349.4,1.86,1.15,3.215,0.95,862245.5,0.11,79.22,198,6,4,35,17.5,2,42.5,100,89.59,67.82,13.775,24.665,-31.44,0.692,3.04,1.73
28.38,325.435,213.335,1.01,0.86,15.65,16.11,245264,0.35,107.79,102,8,5,35,1.5,4,32.8,46.2,32,16.93,12.93,18.95,0.54,1,2.9,0.43
21.865,343.54,305.665,1.115,2.2,1.02,18.84,271805.5,0.205,41.42,127,13,4,33,0.5,2,31.2,94,19.92,23.54,13.76,19.9,-21.53,0.329,0.37,0.1
11.095,875.475,865.8,2.955,0,0.405,28.69,173869,0.095,0,194,11,4,34,5.5,3,20.6,100,43.27,19.78,31.01,48.425,-25.445,0.258,1.67,0.35
22.65,434.03,367.215,2.105,1.17,66.73,3.875,335710.5,0.26,77.835,142,3,3,34,15.5,2,39.7,93.2,44.27,33.95,11.975,19.95,91.97,1,1.42,0.31
3.29,1155.13,1091.21,0.82,1.34,0.23,48.985,212167.5,0.02,82.135,436,35,6,34,1.5,11,41.5,100,72.195,0,226.6,308.515,-65.01,0.083,-3.79,-0.55
39.175,215.4,170.045,3.005,0.62,0.45,-8.29,1267883.5,0.105,146.155,801,11,8,37,37,20,39.8,100,70.975,0,48.32,104.24,-14.58,0.083,-0.96,-0.12
24.64,282.62,233.235,1.185,0.955,1.51,13.925,2068968,0.13,96.325,534,13,6,36,14.5,24,30.3,100,93.31,0,40.725,52.705,-27.845,0.196,-1.87,-0.29
15.01,691.325,616.87,0.805,1.505,2.255,22.515,513102.5,0.165,60.545,273,0,8,38,2.5,25,5.3,57.5,63.965,0,9.41,17.845,-2.635,0.424,-0.4,-0.04
20.555,387.365,348.535,2.875,1.525,2.455,19.285,23004258.5,0.17,59.74,6999,7,4,32,117.5,7,43.7,100,90.085,1714.243,24.215,31.47,-8.63,0.309,2.12,2.17
18.62,416.525,340.87,1.835,1.245,1.595,11.545,1374661.5,0.19,73.125,686,4,6,36,5,21,34.2,45.2,67.935,45,13.83,23.305,-12.145,0.375,3.05,0.49
14.98,602.29,348.865,1.975,0.485,2.63,18.12,1138645,0.17,188.82,329,7,6,38,4,11,27.9,100,61.6,0,9.41,15.95,-10.825,0.426,-1.73,-0.37
13.21,516.725,425.645,1.55,1.135,2.51,18.77,920378.5,0.145,80.695,558,7,6,37,3,5,31.4,31.4,35.08,0,19.415,33.11,-3.715,0.344,1.46,0.27
40.47,205.52,182.4,0.83,1.965,5.525,5.315,8672360.5,0.235,46.395,1451,5,5,35,48,8,23.6,88.6,72.46,652.09,11.17,14.405,-4.945,0.621,3.51,1.3
16.59,411.075,353.34,1.375,1.58,1.73,22.98,1417554.5,0.18,57.675,707,15,5,36,6.5,10,25.4,79.8,61.045,17.869,22.8,30.605,-16.275,0.298,3.76,0.61
15.375,470.24,425.86,2.02,2.15,1.825,19.695,1028664,0.16,44.235,214,12,5,33,0.5,3,24.4,100,97.435,82.617,18.185,30.01,16.11,0.64,4.75,0.91
8.185,1476.24,1368.105,1.1,0.655,0.44,26.54,80311.5,0.055,202.83,86,4,8,44,0,5,63.6,99.7,79.295,0,31.73,57.865,-37.24,0.34,0.79,0.13
34.455,257.2,179.495,1.78,1.92,6.615,9.13,2457132.5,0.49,47.46,481,12,5,37,1.5,4,36.9,80.1,68.27,59.328,8.625,13.32,-11.395,1,2.97,0
14.235,659.36,583.085,1.11,1.105,4.93,19.88,234857,0.17,82.37,110,22,3,36,7,1,39.6,85.6,7.615,24.14,11.6,26.11,-20.485,1,2.34,0.6
19.365,440.975,354.375,1.425,0.81,3.44,61.815,828081,0.18,113.26,382,8,7,39,6.5,5,47.2,48.7,83.54,64.003,17.175,29.835,-14.335,0.357,2.6,0.43
12.085,784.33,651.965,0.71,0.835,8.135,15.83,208090,0.135,114.435,123,21,5,36,1.5,8,33.8,96.2,97.5,0,16.325,40.815,-35.185,0.533,-1.38,-0.22
27.035,291.56,214.45,1.34,1.08,2.83,26.835,2733192.5,0.335,84.66,728,4,5,34,28.5,8,36.4,61.5,50.57,337.701,12.89,24.475,-8.985,0.513,6.62,2.69
20.15,377.535,299.555,0.77,0.985,2.27,35.73,1119796,0.225,92.65,284,2,7,37,0,2,30.5,81.5,78.29,88.533,9.01,17.775,-7.91,1,3.36,1.6
30.55,380.395,214.275,0.725,0.635,3.235,28.24,712456,0.23,144.255,121,3,6,37,0.5,4,9.3,61.5,72.205,0,6.065,11.77,-21.26,0.808,0.38,0.05
19.69,423.125,392.155,1.93,1.36,3.33,7.08,891172,0.12,68.735,239,2,4,35,20.5,2,48.6,100,92,45.58,16.165,26.135,-12.455,0.426,0.13,0.28
20.465,442.065,294.72,0.975,0.78,16.055,39.375,222420,0.33,116.925,104,0,6,36,0.5,4,31.5,44.3,45.33,21.68,15.01,21.565,-0.21,1,3.12,0.48
15.98,463.46,403.775,0.985,1.87,0.805,11.43,215512,0.17,49.43,107,17,5,34,2.5,2,42.9,94.5,28.29,20.13,17.24,25.07,-26.955,0.804,1.64,0.43
3.695,859.09,804.765,0.86,1.04,0.105,-39.08,100253,0.01,93.19,436,35,6,34,1,11,40.6,100,59.42,0,297.34,406.805,-74.155,0.062,-3.81,-0.53
31.51,261.09,217.3,3.115,0.64,0.43,-20.945,1242974.5,0.1,142.69,801,11,8,37,33,19.5,37.3,100,72.87,0,59.955,111.745,-17.36,0.069,-22.33,-3.53
26.525,321.31,269.545,1.295,0.905,1.175,10.35,1859593,0.125,100.635,534,13,6,36,17,24,31.65,100,94.02,0,44.22,57.115,-22.935,0.155,0.83,0.04
13.96,776.34,699.985,0.81,1.53,1.97,23.44,462562,0.155,59.515,273,0,8,38,2,22.5,8.25,54.4,65.97,0,10.795,19.695,-7.58,0.347,1.21,0.13
21.5,364.325,328.7,2.765,1.355,2.14,16.555,21124033,0.15,68.355,6999,7,4,32,115,9,40.05,100,89.72,1305.059,25.755,32.995,-0.74,0.273,3.21,3.23
20.29,419.86,351.22,1.98,1.325,1.675,22.615,1436560,0.2,68.8,686,4,6,36,9.5,19,33.9,48.5,71.49,87.5,13.965,21.925,12.88,0.286,4.8,0.74
13.77,658.03,426.55,2.165,0.61,2.92,21.68,1242667.5,0.19,151.79,329,7,6,38,2,11,37.35,100,61.92,0,9.335,15.2,-7.81,0.612,-0.11,-0.02
17.125,485.1,414.59,1.6,1.275,2.46,21.83,912452.5,0.18,71.63,558,7,6,37,4,5.5,31.65,31.65,34.45,15.075,19.27,33.435,-6.835,0.306,1.86,0.34
38.225,220.815,197.47,0.775,1.935,5.005,9.83,7944205.5,0.22,47.1,1451,5,5,35,45.5,8,25.6,86.75,69.73,717.5795,11.48,14.84,-7.315,0.589,4.83,1.71
17.925,388.88,329.625,1.525,1.65,2.01,14.57,1605350,0.205,55.3,707,15,5,36,8,10,25.4,66.8,71.03,88.807,21.495,30.555,10.7,0.269,4.37,0.71
18.73,402.025,377.035,2.16,2.805,1.975,45.2,1272644,0.195,32.6,214,12,5,33,0.5,3,35.25,100,97.46,90.127,16.88,28.05,62.275,1,3.82,0.73
4.955,2059.71,1925.45,1.105,0.505,0.415,46.055,74521.5,0.055,221.43,86,4,8,44,0,5,65.25,99.85,80.93,2.7605,31.85,59.805,-25.88,0.387,1.96,0.3
33.105,268.6,195.905,1.535,1.675,5.535,31.245,2029053.5,0.405,55.275,481,12,5,37,9,4,34,79.95,68.09,64.1085,10.645,16.165,-17.08,0.624,5.52,0
15.685,615.235,546.4,1.135,1.165,4.2,27.79,231281,0.175,78.67,110,22,3,36,7.5,1,41.35,82.8,8.36,23.21,13.985,26.345,-9.225,0.824,3.69,0.92
19.2,451.19,368.57,1.485,0.755,2.63,29.04,769171,0.17,121.255,382,8,7,39,10,5,45.55,55.45,84.69,66.0335,18.195,30.965,-8.79,0.326,5.17,0.82
12.235,772.96,647.7,0.78,0.745,7.93,1.81,200891.5,0.14,123.75,123,21,5,36,1,8,22.25,98.1,97.8,0,15.54,41.065,-31.515,0.593,-1.81,-0.28
26.335,302.025,213.535,1.315,1.21,2.53,34.24,2623381,0.33,75.885,728,4,5,34,30,8,38,59.1,50.19,356.968,13.825,24.425,-3.515,0.409,8.33,3.3
20.215,381.05,308.52,0.805,0.995,1.97,34.14,1059651,0.215,91.75,284,2,7,37,0.5,4,32.1,83.5,73.36,123.946,9.305,18.5,-12.375,1,5.26,2.41
31.385,283.51,174.025,0.73,0.635,2.525,30.325,641132.5,0.215,144.695,121,3,6,37,1,4,11.7,60.85,70.6,0,5.72,11.765,-20.105,0.654,-0.35,-0.05
19.745,410.065,385.445,1.785,1.545,3.01,8.125,801312.5,0.11,58.85,239,2,4,35,31.5,2,48.6,100,92,45.58,16.985,27.91,-5.615,0.348,0.63,0.3
20.455,447.885,323.75,1.06,0.89,12.635,52.69,223244.5,0.335,103.34,104,0,6,36,0,4,31.5,44.3,45.33,21.68,14.99,21.46,5.585,1,7.98,1.23
15.35,478.895,420.39,1.17,1.965,0.92,0.69,245261,0.2,47.7,107,17,5,34,4.5,2,42.9,94.5,28.29,20.13,15.765,22.65,-17.835,0.7,3.27,0.86
16.45,571.22,494.45,1.545,0.74,38.575,17.975,175118.5,0.14,129.72,111,25,4,34,7.5,2,43.6,90.1,47.97,15.79,22.3,35.01,-17.375,1,2.52,0.51
3.415,808.92,766.1,1.425,1.395,0.135,-94.605,126960,0.01,65.635,436,35,6,34,1.5,11,39.7,100,59.42,0,217.545,295.25,-74.475,0.051,-0.91,-0.12
34.075,242.62,203.145,2.875,0.685,0.38,-24.825,1125718,0.09,133.355,801,11,8,37,43,19,34.8,100,72.87,0,67.26,110.805,-20.335,0.061,-18.54,-2.38
30.51,335.73,273.065,1.475,0.965,1.205,-6.66,2139799.5,0.14,94.255,534,13,6,36,14.5,24,33,100,94.02,0,32.235,43.85,-16.84,0.204,0.21,-0.03
15.085,730.3,654.31,0.91,1.625,2.07,8.625,490564.5,0.16,56.145,273,0,8,38,1.5,20,11.2,51.3,65.97,0,10.52,19.145,-8.64,0.415,1.39,0.15
26.3,309.475,277.765,2.89,1.255,2.06,5.155,21527611,0.14,72.835,6999,7,4,32,102,11,36.4,100,89.72,895.875,24.24,30.67,5.225,0.294,3.46,4.32
26.64,348.17,242.46,1.965,1.39,2.02,9.745,1711641.5,0.225,65.33,686,4,6,36,10.5,17,33.6,51.8,71.49,130,14.515,22.21,26.985,0.308,5.5,0.88
15.47,611.81,413.37,2.115,0.715,3.215,14.515,1296699.5,0.205,127,329,7,6,38,2,11,46.8,100,61.92,0,9.455,14.99,-18.515,0.631,0.56,0.11
19.83,432.47,373.3,1.48,1.305,2.595,14.23,944797,0.205,69.74,558,7,6,37,5.5,6,31.9,31.9,34.45,30.15,18.39,32.395,-9.15,0.293,1.61,0.31
41.365,209.235,186.02,0.83,1.885,5.035,10.825,8045747.5,0.22,48.32,1451,5,5,35,46.5,8,27.6,84.9,69.73,783.069,11.23,14.475,-9.28,0.561,6.12,2.15
22.925,330.69,310.67,2.345,2.57,2.035,31.13,1358280.5,0.195,36.445,214,12,5,33,0,3,46.1,100,97.46,97.637,17.485,28.3,68.875,1,3.42,0.64
7.495,1365.25,1292.28,1.535,0.76,0.535,53.68,95226,0.07,120.4,86,4,8,44,0.5,5,66.9,100,80.93,5.521,25.12,51.24,-0.925,0.288,1.12,0.17
36.675,247.9,171.305,1.705,1.455,5.305,15.1,1932136,0.375,62.52,481,12,5,37,10.5,4,31.1,79.8,68.09,68.889,11.375,17.44,-8.815,0.52,6.07,0
22.08,446.43,391.255,1.26,1.195,3.965,15.18,268940,0.195,76.375,110,22,3,36,6,1,43.1,80,8.36,22.28,14.94,24.44,6.685,0.779,3.5,0.86
25.91,358.215,294.99,1.65,0.83,2.82,8.045,878687,0.19,111.06,382,8,7,39,10.5,5,43.9,62.2,84.69,68.064,15.91,27.285,-6.04,0.333,4.74,0.73
14.84,645.57,537.835,0.855,0.86,8.68,-9.65,226654,0.16,105.365,123,21,5,36,0,8,10.7,100,97.8,0,13.375,37.12,-15.15,0.619,-2.23,-0.34
33.385,249.965,158.055,1.375,1.32,2.43,18.51,2846620,0.335,68.845,728,4,5,34,31,8,39.6,56.7,50.19,376.235,13.195,22.325,0.695,0.394,7.95,3.1
28.655,287.94,235.585,0.9,1.055,1.93,14.365,1156613.5,0.22,86.23,284,2,7,37,0.5,6,33.7,85.5,73.36,159.359,9.315,18.33,-8.195,1,5.4,2.42
34.365,270.135,171.075,0.765,0.645,2.08,14.395,627393,0.21,141.965,121,3,6,37,0.5,4,14.1,60.2,70.6,0,5.15,11.06,-17.735,0.864,0.73,0.1
20.345,404.91,378.46,1.665,1.495,2.675,-10.15,705149.5,0.1,60.88,239,2,4,35,30.5,2,48.6,100,92,45.58,17.04,30.355,-15.405,0.32,2.27,0.98
30.67,322.12,241.795,1.16,1.1,8.335,29.29,269261.5,0.365,84.005,104,0,6,36,0,4,31.5,44.3,45.33,21.68,12.945,18.71,13.01,1,5.94,0.93
20.91,366.86,323.7,1.415,2.355,1.26,17.535,332775,0.265,38.685,107,17,5,34,2.5,2,42.9,94.5,28.29,20.13,11.99,17.035,3.765,0.63,2.18,0.58
22.21,477.27,419.06,1.845,0.59,32.42,8.14,147309.5,0.12,154.615,111,25,4,34,4,2,43.6,90.1,47.97,15.79,23.1,37.015,-53.42,1,4.08,0.77
3.395,783.53,736.055,2.415,1.39,0.185,-79.305,162580.5,0.015,65.84,436,35,6,34,1,11,39.7,100,59.42,0,170.295,228.135,-58.78,0.073,-9.43,-1.18
41.55,207,167,3.07,0.73,0.355,-17.81,1055543,0.09,125.455,801,11,8,37,43,19,34.8,100,72.87,0,71.985,117.015,-20.025,0.055,-19.96,-2.09
31.305,315.79,246.4,1.465,0.88,1.35,-13.08,2479337.5,0.16,104.28,534,13,6,36,13.5,24,33,100,94.02,0,28.36,38.58,-0.045,0.222,-7.9,-1.59
15.405,710.77,633.875,0.945,1.645,2.185,1.045,527543.5,0.17,55.465,273,0,8,38,1.5,20,11.2,51.3,65.97,0,9.695,17.775,-5.14,0.365,-1.01,-0.11
24.595,288.46,256.16,3.415,1.415,2.49,9.635,26455431,0.155,64.72,6999,7,4,32,88,11,36.4,100,89.72,895.875,22.085,27.955,18.895,0.357,2.57,3.95
27.855,329.685,156.585,1.75,1.265,2.345,7.375,1961340.5,0.245,72.665,686,4,6,36,7,17,33.6,51.8,71.49,130,14.525,22.135,35.605,0.341,4.84,0.86
18.515,479.57,327.315,2.21,0.76,3.485,27.97,1340264,0.21,119.71,329,7,6,38,3,11,46.8,100,61.92,0,9.145,14.645,3.54,0.485,-3.4,-0.67
19.72,441.63,383.735,1.375,1.26,2.725,12.68,967489,0.205,72.165,558,7,6,37,6,6,31.9,31.9,34.45,30.15,18.675,32.39,-2.065,0.275,0.85,0.16
43.46,198.52,175.11,0.945,1.945,5.86,9.185,9405821.5,0.25,46.925,1451,5,5,35,53.5,8,27.6,84.9,69.73,783.069,11.235,14.385,2.94,0.563,5.92,2.21
21.615,353.42,328.515,2.3,2.01,2.15,5.58,1256575,0.175,45.445,214,12,5,33,0,3,46.1,100,97.46,97.637,18.37,29.385,38.625,1,1.78,0.34
7.575,1359.79,1297.5,1.69,0.78,0.54,44.33,95391.5,0.07,116.71,86,4,8,44,0.5,5,66.9,100,80.93,5.521,24.75,53.53,-4.01,0.285,0.83,0.13
39.33,231.815,155.91,2.035,1.67,6.89,2.245,2534638.5,0.475,55.435,481,12,5,37,7,4,31.1,79.8,68.09,68.889,9.11,14.405,7.06,0.607,3.88,0
21.695,460.115,397.885,1.305,1.155,4.005,11.085,296588,0.21,78.97,110,22,3,36,6.5,1,43.1,80,8.36,22.28,13.73,23.87,16.06,0.51,1.4,0.35
26.58,330.63,264.67,1.69,0.865,2.82,17.87,965844,0.205,105.67,382,8,7,39,6,5,43.9,62.2,84.69,68.064,15.05,25.74,2.12,0.308,3.29,0.53
14.76,649.39,537.95,0.83,0.95,9.195,-26.825,242064,0.17,95.935,123,21,5,36,2,8,10.7,100,97.8,0,11.745,34.885,-2.075,0.587,-5.67,-0.86
33.505,247.06,146.905,1.345,1.27,2.385,14.72,2976049,0.34,71.7,728,4,5,34,34,8,39.6,56.7,50.19,376.235,12.68,21.855,2.95,0.397,5.67,2.4
30.805,258.235,214.55,0.945,1.1,2.005,14.665,1249475.5,0.225,82.8,284,2,7,37,0,6,33.7,85.5,73.36,159.359,9.225,17.79,0.74,1,3.82,1.81
29.915,342.115,198.485,0.735,0.595,1.885,2.905,600122,0.2,153.41,121,3,6,37,1.5,4,14.1,60.2,70.6,0,5.85,11.715,-21.3,0.605,-11.21,-1.47
20.42,400.465,370.215,1.84,1.55,3.345,-3.865,893392.5,0.13,58.85,239,2,4,35,0,2,48.6,100,92,45.58,18.285,30.62,4.02,0.873,1.46,0.66
31.995,305.08,206.645,1.13,1.04,7.76,-8.495,296826.5,0.375,90.51,104,0,6,36,0,4,31.5,44.3,45.33,21.68,12.09,17.3,21.4,1,4.65,0.77
21.325,360.505,308.165,1.335,2.065,1.295,4.145,339408,0.26,45.415,107,17,5,34,1.5,2,42.9,94.5,28.29,20.13,11.35,16.075,25.675,0.598,1.39,0.38
23.685,414.63,365.095,1.99,0.745,33.815,20.65,177145.5,0.145,126.82,111,25,4,34,6.5,2,43.6,90.1,47.97,15.79,21.85,34.055,-46.975,1,3.96,0.78
4.395,634.6,577.675,2.68,1.165,0.2,-58.235,170169,0.02,79.015,183,61,6,35,1.5,11,39.7,100,47.85,0,167.055,209.965,22.585,0.075,-0.21,-0.24
36.78,219.785,177.72,1.69,1.335,2,15.86,6338809.5,0.22,68.36,2317,4,6,33,56.5,11,45.5,100,45.46,144.338,21.415,32.965,24.75,0.247,4.01,1.45
14.8,751.79,677.415,0.885,1.555,2.005,12.745,489745.5,0.155,58.665,293,8,8,39,1.5,20,11.2,51.3,67.77,0,10.575,18.87,-4.525,0.469,1.58,0.17
17.47,337.71,295.42,3.66,1.355,2.625,9.73,28103969,0.145,68.185,7065,1,4,33,106.5,11,36.4,100,91.665,895.875,21.815,27.64,22.1,0.403,2.09,2.79
19.44,462.485,310.91,2.245,0.715,3.49,11.105,1356902.5,0.21,128.58,362,4,6,38,3,11,46.8,100,64.9,0,9.26,14.975,19.18,0.652,2.96,0.61
18.735,468.005,408.255,1.275,1.15,2.555,14.27,883604,0.185,79.65,470,12,7,38,6.5,6,31.9,31.9,33.12,30.15,20.61,35.855,-4.065,0.263,0.81,0.16
5.895,1692.55,1624.1,1.745,0.865,0.53,50.855,92402,0.07,106.3,85,0,9,44,0.5,5,66.9,100,82.35,5.521,23.265,48.15,25.105,0.253,1.09,0.17
34.075,273.825,207.77,1.92,1.95,6.935,25.91,2574744,0.485,46.715,456,11,5,38,6,4,31.1,79.8,77.795,68.889,8.545,13.585,4.365,0.706,2.56,0.68
15.395,634.515,557.535,1.345,1.12,3.73,38.56,272245.5,0.2,81.675,111,8,4,36,7,1,43.1,80,7.915,22.28,15.81,25.41,15.625,0.515,2.53,0.65
12.09,799.84,667.405,0.775,1.015,9.19,-15.755,229486.5,0.165,89.695,125,7,5,37,4,8,10.7,100,97.42,0,11.495,34.495,11.005,0.597,-0.88,-0.12
26.705,291.735,248.025,0.945,1.15,1.9,18.465,1176183,0.215,79.325,298,1,7,37,0,6,33.7,85.5,69.02,159.359,9.11,17.68,5.005,1,3.02,1.47
23.09,471.925,274.81,0.68,0.645,1.665,22.07,521613,0.19,142.785,113,7,7,39,1.5,4,14.1,60.2,66.715,0,6.9,13.21,-26.99,0.589,-0.99,-0.13
17.475,468.06,432.25,1.745,1.655,3.805,14.575,1049819,0.155,54.945,243,16,4,35,30.5,2,54.4,100,94.72,42.86,16.365,27.73,18.08,0.352,0.24,0.11
23.52,402.79,266.6,1.1,0.875,7.725,8.21,285520,0.37,104.47,106,2,7,38,0,4,31.3,45.5,45.46,32,12.76,18.16,28.375,1,8.25,1.46
17.025,444.815,380.235,1.145,1.655,1.11,-5.99,288289,0.225,55.135,110,19,4,34,2.5,2,34,94.53,50.88,13,11.595,16.47,33.985,0.632,2.24,0.62
4.245,610.545,517.225,1.98,0.795,0.15,-91.42,128654.5,0.015,126.96,183,61,6,35,4,12,36.85,100,36.28,0,148.415,193.025,39.78,0.047,-0.9,-0.11
33.275,244.415,193.845,1.905,1.24,2.055,11.86,6460555,0.235,73.705,2317,4,6,33,55.5,11,47.05,100,49.52,440.9735,21.95,33.385,23.17,0.27,4.23,1.56
13.83,832.695,746.44,0.845,1.325,1.735,11.82,422686,0.13,70,293,8,8,39,2.5,18,10.35,51.72,69.57,0.9575,10.995,20.005,-8.73,0.392,0.45,0.05
16.77,354.085,310.285,3.595,1.125,2.335,8.35,25355609,0.12,81.53,7065,1,4,33,166.5,9,41.75,100,93.61,1244.6755,22.54,28.81,20.175,0.309,3.72,5.01
21.025,427.53,280.745,2.14,0.67,3.44,6.595,1400051.5,0.215,136.075,362,4,6,38,5,11,51.95,100,67.88,91.8425,8.99,15.53,12.645,0.564,4.73,1.02
