Date,Quantity,Monetary,Amount,Index,Updown
105/07/13,4850884392.00 ,98433193150.00 ,929113.00 ,8857.75 ,16.29 
105/07/14,4422952583.00 ,84659240045.00 ,841778.00 ,8866.36 ,8.61 
105/07/15,4874982524.00 ,102656765913.00 ,976658.00 ,8949.85 ,83.49 
105/07/18,4564796901.00 ,93473193654.00 ,867491.00 ,9008.21 ,58.36 
105/07/19,4774586439.00 ,96280319405.00 ,922333.00 ,9034.87 ,26.66 
105/07/20,4447845917.00 ,94869577884.00 ,913431.00 ,9007.68 ,(27.19)
105/07/21,5201516603.00 ,100647508743.00 ,1007995.00 ,9056.56 ,48.88 
105/07/22,4242274452.00 ,82046171596.00 ,840093.00 ,9013.14 ,(43.42)
105/07/25,4007179190.00 ,77600049546.00 ,777080.00 ,8991.67 ,(21.47)
105/07/26,3925613098.00 ,76442857722.00 ,726303.00 ,9024.79 ,33.12 
105/07/27,4970935255.00 ,96440644211.00 ,856895.00 ,9063.39 ,38.60 
105/07/28,4766003386.00 ,88750752651.00 ,842748.00 ,9076.64 ,13.25 
105/07/29,3852627640.00 ,79791349789.00 ,717081.00 ,8984.41 ,(92.23)
105/08/01,3871706261.00 ,78804102182.00 ,765901.00 ,9080.71 ,96.30 
105/08/02,3884166772.00 ,74010051370.00 ,737921.00 ,9068.76 ,(11.95)
105/08/03,3834059543.00 ,70771446177.00 ,732463.00 ,9001.71 ,(67.05)
105/08/04,3829779330.00 ,74418273151.00 ,713559.00 ,9024.71 ,23.00 
105/08/05,4226749494.00 ,84243393706.00 ,791540.00 ,9092.12 ,67.41 
105/08/08,4083690279.00 ,83400282896.00 ,751688.00 ,9150.26 ,58.14 
105/08/09,4066821718.00 ,79859408846.00 ,799032.00 ,9155.08 ,4.82 
105/08/10,4225760731.00 ,80598942348.00 ,792698.00 ,9200.42 ,45.34 
105/08/11,4760190883.00 ,93559858446.00 ,880676.00 ,9131.83 ,(68.59)
105/08/12,4015197342.00 ,88441767577.00 ,825333.00 ,9150.39 ,18.56 
105/08/15,4100081258.00 ,79893213002.00 ,760158.00 ,9148.51 ,(1.88)
105/08/16,4451022067.00 ,84870784913.00 ,797042.00 ,9110.36 ,(38.15)
105/08/17,3978438268.00 ,81245429214.00 ,839612.00 ,9117.70 ,7.34 
105/08/18,4015535468.00 ,79316393081.00 ,753628.00 ,9122.50 ,4.80 
105/08/19,4388582310.00 ,83781157067.00 ,808295.00 ,9034.27 ,(88.23)
105/08/22,3885584470.00 ,69450728803.00 ,727963.00 ,8981.81 ,(52.46)
105/08/23,3836367256.00 ,66902162224.00 ,655444.00 ,9030.93 ,49.12 
105/08/24,3518670453.00 ,61538427352.00 ,668789.00 ,9017.38 ,(13.55)
105/08/25,4269679972.00 ,78658927216.00 ,775060.00 ,9115.47 ,98.09 
105/08/26,3595701488.00 ,65815985228.00 ,687227.00 ,9131.72 ,16.25 
