A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4
34.02 ,256.52 ,142.45 ,2.16 ,1.60 ,6.56 ,7.50 ,2774129.00 ,0.59 ,57.21 ,494.00 ,8.00 ,4.00 ,36.00 ,3.00 ,4.00 ,28.00 ,78.60 ,77.79 ,52.89 ,9.14 ,13.42 ,27.60 
51.13 ,175.84 ,82.13 ,2.17 ,1.24 ,9.60 ,-7.85 ,1638913.50 ,0.54 ,73.42 ,376.00 ,16.00 ,2.00 ,33.00 ,1.00 ,1.00 ,14.30 ,100.00 ,85.11 ,41.75 ,7.23 ,10.89 ,62.39 
17.91 ,537.97 ,454.71 ,0.77 ,0.98 ,13.62 ,31.90 ,319373.50 ,0.19 ,93.26 ,133.00 ,15.00 ,5.00 ,35.00 ,3.00 ,6.00 ,41.30 ,96.30 ,97.63 ,25.45 ,11.45 ,26.53 ,-28.16 
30.19 ,268.65 ,204.31 ,1.32 ,1.33 ,3.43 ,26.88 ,3022257.00 ,0.36 ,69.98 ,679.00 ,2.00 ,4.00 ,34.00 ,24.00 ,7.00 ,35.30 ,64.20 ,47.28 ,484.92 ,10.03 ,20.24 ,17.92 
33.32 ,240.35 ,170.07 ,1.23 ,1.28 ,2.68 ,3.10 ,1285158.50 ,0.26 ,71.80 ,336.00 ,41.00 ,3.00 ,35.00 ,7.00 ,11.00 ,25.50 ,100.00 ,77.97 ,46.68 ,14.40 ,18.75 ,-6.48 
22.64 ,345.29 ,261.79 ,0.84 ,0.91 ,4.05 ,10.44 ,1213536.00 ,0.23 ,100.39 ,284.00 ,2.00 ,6.00 ,36.00 ,0.00 ,2.00 ,34.70 ,77.50 ,82.46 ,165.37 ,9.00 ,15.35 ,6.63 
29.88 ,441.60 ,223.19 ,0.78 ,0.67 ,9.46 ,-15.55 ,903729.50 ,0.26 ,136.65 ,117.00 ,1.00 ,5.00 ,36.00 ,0.50 ,3.00 ,15.10 ,70.70 ,74.11 ,11.75 ,4.19 ,8.17 ,7.41 
18.36 ,478.03 ,440.42 ,1.88 ,1.39 ,3.74 ,12.57 ,1046023.00 ,0.14 ,66.14 ,198.00 ,6.00 ,4.00 ,35.00 ,18.00 ,2.00 ,42.50 ,100.00 ,89.59 ,67.82 ,12.03 ,20.84 ,-4.71 
23.05 ,377.50 ,239.49 ,0.99 ,0.83 ,10.22 ,17.38 ,223057.50 ,0.34 ,109.82 ,102.00 ,8.00 ,5.00 ,35.00 ,0.50 ,4.00 ,32.80 ,46.20 ,32.00 ,16.93 ,14.77 ,20.33 ,4.86 
18.52 ,396.66 ,354.08 ,1.19 ,2.47 ,1.11 ,24.62 ,297098.00 ,0.24 ,37.34 ,127.00 ,13.00 ,4.00 ,33.00 ,6.50 ,2.00 ,31.20 ,94.00 ,19.92 ,23.54 ,12.22 ,17.26 ,29.26 
11.44 ,524.24 ,510.25 ,2.46 ,0.00 ,0.63 ,72.85 ,221456.50 ,0.20 ,0.00 ,194.00 ,11.00 ,4.00 ,34.00 ,3.50 ,3.00 ,20.60 ,100.00 ,43.27 ,19.78 ,29.64 ,46.45 ,19.52 
16.20 ,603.42 ,511.28 ,2.22 ,0.78 ,31.49 ,-5.93 ,173603.50 ,0.17 ,116.97 ,142.00 ,3.00 ,3.00 ,34.00 ,1.50 ,2.00 ,39.70 ,93.20 ,44.27 ,33.95 ,20.71 ,34.30 ,54.64 
4.18 ,922.80 ,817.25 ,1.19 ,1.08 ,0.41 ,6.99 ,392730.50 ,0.03 ,86.71 ,663.00 ,8.00 ,5.00 ,34.00 ,0.50 ,11.00 ,41.15 ,100.00 ,84.97 ,0.64 ,59.78 ,71.35 ,-41.94 
21.16 ,314.75 ,244.10 ,1.59 ,1.07 ,1.29 ,10.84 ,5058854.50 ,0.23 ,88.14 ,1902.00 ,12.00 ,5.00 ,34.00 ,48.50 ,9.50 ,43.65 ,100.00 ,33.08 ,293.12 ,17.13 ,30.78 ,-12.06 
32.68 ,252.94 ,198.65 ,2.64 ,0.69 ,0.53 ,-23.13 ,1504402.00 ,0.11 ,134.90 ,845.00 ,5.00 ,8.00 ,37.00 ,63.50 ,20.50 ,39.85 ,100.00 ,69.08 ,0.08 ,45.61 ,89.41 ,14.90 
13.99 ,724.69 ,656.43 ,0.84 ,1.56 ,2.25 ,17.34 ,501045.50 ,0.14 ,58.63 ,282.00 ,21.00 ,7.00 ,36.00 ,1.50 ,19.50 ,8.00 ,55.65 ,61.96 ,11.19 ,10.43 ,19.02 ,-14.42 
18.23 ,461.87 ,411.66 ,2.92 ,1.19 ,2.73 ,13.03 ,21273455.00 ,0.15 ,76.61 ,6746.00 ,14.00 ,3.00 ,32.00 ,100.00 ,7.00 ,48.15 ,100.00 ,90.45 ,2788.77 ,25.43 ,31.55 ,-30.66 
16.60 ,461.64 ,364.97 ,1.91 ,1.16 ,1.46 ,7.72 ,1281289.50 ,0.17 ,79.69 ,605.00 ,6.00 ,7.00 ,36.00 ,15.50 ,21.00 ,33.95 ,36.65 ,64.38 ,61.25 ,17.42 ,29.57 ,-1.87 
18.84 ,495.13 ,265.53 ,2.59 ,0.50 ,3.18 ,-13.62 ,1377618.50 ,0.19 ,181.10 ,331.00 ,9.00 ,5.00 ,37.00 ,3.50 ,10.50 ,29.70 ,100.00 ,61.28 ,60.28 ,9.41 ,13.82 ,-19.57 
12.17 ,509.12 ,417.84 ,1.60 ,0.99 ,7.32 ,15.34 ,981383.00 ,0.14 ,92.44 ,544.00 ,8.00 ,6.00 ,37.00 ,7.00 ,5.00 ,32.95 ,32.95 ,35.71 ,34.60 ,16.98 ,30.31 ,-6.29 
40.56 ,203.80 ,176.55 ,0.84 ,1.67 ,5.42 ,8.73 ,8565309.50 ,0.23 ,54.63 ,1339.00 ,7.00 ,4.00 ,35.00 ,49.50 ,8.00 ,24.00 ,87.45 ,75.19 ,730.52 ,10.33 ,13.73 ,7.95 
18.90 ,340.63 ,286.85 ,1.35 ,1.53 ,1.71 ,14.62 ,1482538.00 ,0.18 ,60.29 ,681.00 ,17.00 ,5.00 ,36.00 ,10.00 ,10.00 ,29.10 ,78.15 ,51.06 ,73.10 ,22.15 ,32.86 ,3.57 
15.77 ,479.32 ,446.51 ,2.30 ,1.91 ,1.42 ,9.78 ,792258.00 ,0.11 ,48.63 ,200.00 ,14.00 ,5.00 ,33.00 ,0.00 ,3.00 ,34.80 ,100.00 ,97.41 ,99.78 ,20.86 ,34.76 ,-39.65 
6.68 ,1303.42 ,1214.65 ,1.16 ,1.05 ,0.55 ,41.20 ,102466.50 ,0.08 ,87.38 ,75.00 ,1.00 ,8.00 ,43.00 ,0.00 ,4.50 ,63.25 ,99.85 ,77.66 ,5.45 ,24.04 ,46.45 ,-29.82 
29.73 ,298.19 ,187.52 ,1.91 ,1.49 ,5.90 ,36.95 ,2442438.00 ,0.52 ,61.58 ,494.00 ,8.00 ,4.00 ,36.00 ,0.50 ,4.00 ,32.45 ,79.35 ,68.45 ,56.11 ,10.06 ,14.70 ,14.26 
17.26 ,545.91 ,485.94 ,1.27 ,1.38 ,6.25 ,5.93 ,255298.50 ,0.19 ,67.55 ,115.00 ,20.00 ,3.00 ,35.00 ,8.00 ,1.00 ,37.90 ,83.10 ,6.87 ,32.94 ,12.63 ,19.75 ,-13.73 
46.92 ,192.71 ,100.07 ,2.21 ,1.28 ,9.92 ,8.58 ,1725608.00 ,0.55 ,71.23 ,376.00 ,16.00 ,2.00 ,33.00 ,2.00 ,1.00 ,14.65 ,100.00 ,83.06 ,66.52 ,6.75 ,10.11 ,77.85 
19.91 ,453.18 ,367.38 ,1.69 ,0.78 ,4.07 ,2.75 ,843336.00 ,0.18 ,116.63 ,378.00 ,11.00 ,7.00 ,38.00 ,8.00 ,5.00 ,47.80 ,45.70 ,82.39 ,79.76 ,17.68 ,30.40 ,-5.36 
17.83 ,536.90 ,466.40 ,0.80 ,1.06 ,13.29 ,22.18 ,295284.50 ,0.18 ,86.16 ,133.00 ,15.00 ,5.00 ,35.00 ,3.00 ,7.00 ,37.55 ,96.25 ,97.20 ,12.73 ,12.35 ,29.04 ,-28.44 
28.69 ,282.63 ,208.79 ,1.36 ,1.10 ,3.02 ,20.44 ,2718882.00 ,0.32 ,83.31 ,679.00 ,2.00 ,4.00 ,34.00 ,23.50 ,7.50 ,35.85 ,62.85 ,50.95 ,411.31 ,10.81 ,20.96 ,1.08 
28.11 ,271.70 ,193.93 ,1.19 ,1.11 ,2.41 ,-0.81 ,1122555.50 ,0.24 ,82.02 ,336.00 ,41.00 ,3.00 ,35.00 ,6.00 ,11.00 ,29.00 ,100.00 ,77.34 ,36.53 ,15.41 ,20.61 ,-13.63 
21.94 ,349.99 ,267.95 ,0.87 ,0.93 ,2.74 ,12.07 ,1209404.00 ,0.23 ,97.89 ,284.00 ,2.00 ,6.00 ,36.00 ,0.00 ,2.00 ,32.60 ,79.50 ,83.22 ,126.95 ,9.10 ,16.13 ,8.13 
29.17 ,485.61 ,248.66 ,0.75 ,0.64 ,6.11 ,10.02 ,802933.50 ,0.25 ,143.85 ,117.00 ,1.00 ,5.00 ,36.00 ,0.00 ,3.50 ,12.20 ,66.10 ,73.81 ,5.88 ,4.55 ,8.50 ,-2.84 
18.69 ,474.56 ,437.01 ,1.75 ,1.20 ,3.09 ,12.51 ,843054.00 ,0.11 ,76.25 ,198.00 ,6.00 ,4.00 ,35.00 ,20.50 ,2.00 ,42.50 ,100.00 ,89.59 ,67.82 ,12.84 ,22.54 ,-20.67 
21.86 ,400.25 ,258.23 ,0.99 ,0.78 ,10.51 ,19.10 ,211591.00 ,0.33 ,117.09 ,102.00 ,8.00 ,5.00 ,35.00 ,1.00 ,4.00 ,32.80 ,46.20 ,32.00 ,16.93 ,14.31 ,20.17 ,1.64 
19.54 ,382.11 ,330.29 ,1.31 ,2.15 ,1.12 ,14.72 ,296041.50 ,0.24 ,42.44 ,127.00 ,13.00 ,4.00 ,33.00 ,0.00 ,2.00 ,31.20 ,94.00 ,19.92 ,23.54 ,12.32 ,17.35 ,27.19 
9.27 ,809.10 ,801.37 ,2.71 ,0.00 ,0.54 ,67.51 ,185277.00 ,0.15 ,0.00 ,194.00 ,11.00 ,4.00 ,34.00 ,7.00 ,3.00 ,20.60 ,100.00 ,43.27 ,19.78 ,35.80 ,55.92 ,0.54 
17.31 ,574.90 ,494.48 ,2.54 ,1.10 ,44.83 ,11.11 ,234579.50 ,0.22 ,90.38 ,142.00 ,3.00 ,3.00 ,34.00 ,4.00 ,2.00 ,39.70 ,93.20 ,44.27 ,33.95 ,17.07 ,28.00 ,90.03 
4.48 ,849.73 ,760.58 ,1.57 ,1.39 ,0.53 ,-21.24 ,497448.50 ,0.04 ,66.10 ,663.00 ,8.00 ,5.00 ,34.00 ,1.00 ,11.00 ,41.50 ,100.00 ,84.97 ,0.00 ,57.64 ,72.92 ,-32.41 
26.95 ,256.06 ,209.09 ,1.72 ,1.42 ,1.56 ,20.96 ,5864134.00 ,0.27 ,65.07 ,1902.00 ,12.00 ,5.00 ,34.00 ,49.00 ,10.00 ,44.10 ,100.00 ,33.08 ,263.64 ,17.01 ,28.65 ,-3.91 
36.15 ,274.86 ,215.36 ,2.70 ,0.58 ,0.50 ,-27.14 ,1407641.00 ,0.11 ,158.20 ,845.00 ,5.00 ,8.00 ,37.00 ,60.00 ,20.00 ,39.80 ,100.00 ,69.08 ,0.00 ,49.53 ,90.26 ,2.35 
17.57 ,588.09 ,526.92 ,0.90 ,1.62 ,2.45 ,2.08 ,536117.00 ,0.15 ,56.32 ,282.00 ,21.00 ,7.00 ,36.00 ,1.00 ,25.00 ,5.30 ,57.50 ,61.96 ,0.00 ,9.00 ,16.94 ,-12.32 
25.31 ,367.86 ,327.74 ,2.81 ,1.18 ,2.51 ,6.78 ,20424488.50 ,0.15 ,77.60 ,6746.00 ,14.00 ,3.00 ,32.00 ,91.50 ,7.00 ,43.70 ,100.00 ,90.45 ,1714.24 ,24.62 ,30.69 ,-34.61 
21.47 ,369.34 ,299.32 ,2.03 ,1.13 ,1.55 ,7.02 ,1347775.00 ,0.18 ,81.40 ,605.00 ,6.00 ,7.00 ,36.00 ,12.50 ,21.00 ,34.20 ,45.20 ,64.38 ,45.00 ,16.25 ,27.73 ,-12.10 
20.95 ,441.41 ,248.90 ,2.68 ,0.54 ,3.70 ,9.51 ,1591106.00 ,0.23 ,167.53 ,331.00 ,9.00 ,5.00 ,37.00 ,4.50 ,11.00 ,27.90 ,100.00 ,61.28 ,0.00 ,10.02 ,14.54 ,-26.96 
15.03 ,398.89 ,324.96 ,1.63 ,1.04 ,4.97 ,12.92 ,1039700.00 ,0.14 ,87.97 ,544.00 ,8.00 ,6.00 ,37.00 ,6.00 ,5.00 ,31.40 ,31.40 ,35.71 ,0.00 ,16.35 ,29.14 ,-6.68 
43.95 ,190.99 ,166.83 ,0.90 ,1.72 ,5.69 ,6.36 ,8862751.00 ,0.23 ,53.06 ,1339.00 ,7.00 ,4.00 ,35.00 ,46.50 ,8.00 ,23.60 ,88.60 ,75.19 ,652.09 ,10.82 ,13.88 ,-1.91 
21.22 ,315.94 ,269.27 ,1.33 ,1.51 ,1.67 ,10.62 ,1421021.50 ,0.17 ,61.00 ,681.00 ,17.00 ,5.00 ,36.00 ,8.00 ,10.00 ,25.40 ,79.80 ,51.06 ,17.87 ,21.40 ,34.41 ,-12.04 
20.07 ,400.38 ,367.43 ,2.45 ,1.67 ,1.47 ,-3.94 ,812927.00 ,0.12 ,54.75 ,200.00 ,14.00 ,5.00 ,33.00 ,0.50 ,3.00 ,24.40 ,100.00 ,97.41 ,82.62 ,19.92 ,32.24 ,-30.19 
9.01 ,1008.78 ,940.76 ,1.21 ,0.93 ,0.52 ,12.87 ,96095.00 ,0.07 ,98.49 ,75.00 ,1.00 ,8.00 ,43.00 ,0.00 ,5.00 ,63.60 ,99.70 ,77.66 ,0.00 ,26.72 ,49.85 ,-35.40 
33.13 ,274.62 ,185.76 ,1.93 ,1.52 ,5.33 ,40.56 ,2116489.00 ,0.45 ,60.76 ,494.00 ,8.00 ,4.00 ,36.00 ,1.00 ,4.00 ,36.90 ,80.10 ,68.45 ,59.33 ,10.85 ,15.89 ,-9.79 
22.22 ,454.88 ,399.55 ,1.27 ,1.12 ,6.14 ,3.04 ,251973.00 ,0.18 ,81.88 ,115.00 ,20.00 ,3.00 ,35.00 ,4.00 ,1.00 ,39.60 ,85.60 ,6.87 ,24.14 ,14.31 ,21.24 ,-21.60 
25.59 ,381.20 ,312.50 ,1.81 ,0.88 ,4.61 ,-4.03 ,931604.50 ,0.20 ,106.18 ,378.00 ,11.00 ,7.00 ,38.00 ,7.50 ,5.00 ,47.20 ,48.70 ,82.39 ,64.00 ,15.76 ,26.66 ,-10.45 
21.83 ,440.24 ,389.38 ,0.75 ,1.16 ,11.99 ,4.12 ,267940.50 ,0.16 ,78.99 ,133.00 ,15.00 ,5.00 ,35.00 ,3.00 ,8.00 ,33.80 ,96.20 ,97.20 ,0.00 ,13.51 ,32.87 ,-30.20 
35.85 ,237.07 ,172.65 ,1.50 ,1.04 ,3.10 ,12.53 ,2824442.50 ,0.32 ,88.03 ,679.00 ,2.00 ,4.00 ,34.00 ,31.00 ,8.00 ,36.40 ,61.50 ,50.95 ,337.70 ,11.00 ,21.03 ,-7.06 
24.51 ,295.35 ,209.81 ,1.23 ,1.27 ,2.17 ,11.11 ,1126334.50 ,0.25 ,73.67 ,336.00 ,41.00 ,3.00 ,35.00 ,5.00 ,11.00 ,32.50 ,100.00 ,77.34 ,26.37 ,15.51 ,21.11 ,-18.76 
28.59 ,286.52 ,221.52 ,0.87 ,0.99 ,2.72 ,10.39 ,1259747.50 ,0.24 ,91.95 ,284.00 ,2.00 ,6.00 ,36.00 ,0.00 ,2.00 ,30.50 ,81.50 ,83.22 ,88.53 ,7.74 ,15.20 ,-2.31 
32.92 ,423.58 ,227.74 ,0.74 ,0.65 ,4.01 ,13.03 ,762703.50 ,0.24 ,141.38 ,117.00 ,1.00 ,5.00 ,36.00 ,0.00 ,4.00 ,9.30 ,61.50 ,73.81 ,0.00 ,4.56 ,10.09 ,-15.12 
23.38 ,385.46 ,354.12 ,1.82 ,1.14 ,3.10 ,6.21 ,833512.50 ,0.11 ,79.80 ,198.00 ,6.00 ,4.00 ,35.00 ,21.50 ,2.00 ,42.50 ,100.00 ,89.59 ,67.82 ,12.88 ,23.32 ,-31.11 
28.84 ,316.24 ,213.58 ,1.04 ,0.87 ,13.32 ,22.43 ,237092.00 ,0.35 ,106.58 ,102.00 ,8.00 ,5.00 ,35.00 ,1.50 ,4.00 ,32.80 ,46.20 ,32.00 ,16.93 ,12.67 ,18.28 ,1.57 
23.14 ,326.35 ,285.76 ,1.37 ,2.20 ,1.22 ,4.60 ,322515.00 ,0.25 ,41.42 ,127.00 ,13.00 ,4.00 ,33.00 ,0.00 ,2.00 ,31.20 ,94.00 ,19.92 ,23.54 ,11.37 ,16.44 ,0.52 
12.15 ,743.69 ,738.49 ,2.97 ,0.00 ,0.47 ,22.77 ,172616.00 ,0.11 ,0.00 ,194.00 ,11.00 ,4.00 ,34.00 ,6.00 ,3.00 ,20.60 ,100.00 ,43.27 ,19.78 ,35.06 ,54.02 ,-12.39 
24.31 ,401.87 ,341.48 ,2.49 ,1.29 ,63.96 ,22.16 ,318036.50 ,0.27 ,71.39 ,142.00 ,3.00 ,3.00 ,34.00 ,16.00 ,2.00 ,39.70 ,93.20 ,44.27 ,33.95 ,11.95 ,19.97 ,101.94 
3.93 ,1068.00 ,1001.73 ,1.32 ,1.70 ,0.46 ,41.93 ,420912.50 ,0.04 ,54.29 ,663.00 ,8.00 ,5.00 ,34.00 ,1.50 ,11.00 ,41.50 ,100.00 ,84.97 ,0.00 ,68.13 ,88.11 ,-52.30 
42.20 ,222.87 ,171.30 ,2.75 ,0.60 ,0.47 ,-15.16 ,1320256.50 ,0.11 ,153.75 ,845.00 ,5.00 ,8.00 ,37.00 ,44.00 ,20.00 ,39.80 ,100.00 ,69.08 ,0.00 ,42.51 ,89.40 ,-8.34 
18.63 ,538.42 ,477.47 ,0.88 ,1.57 ,2.54 ,3.14 ,556138.00 ,0.17 ,58.22 ,282.00 ,21.00 ,7.00 ,36.00 ,2.00 ,25.00 ,5.30 ,57.50 ,61.96 ,0.00 ,8.85 ,16.72 ,-6.24 
26.54 ,327.57 ,292.62 ,2.85 ,1.36 ,2.51 ,8.87 ,22178815.00 ,0.16 ,67.89 ,6746.00 ,14.00 ,3.00 ,32.00 ,94.00 ,7.00 ,43.70 ,100.00 ,90.45 ,1714.24 ,23.59 ,29.93 ,-23.50 
22.23 ,353.13 ,290.97 ,1.91 ,1.23 ,1.68 ,-0.72 ,1448583.00 ,0.20 ,73.88 ,605.00 ,6.00 ,7.00 ,36.00 ,4.50 ,21.00 ,34.20 ,45.20 ,64.38 ,45.00 ,15.43 ,25.65 ,-20.47 
18.02 ,533.28 ,295.99 ,2.12 ,0.50 ,3.11 ,-10.83 ,1338099.50 ,0.20 ,184.31 ,331.00 ,9.00 ,5.00 ,37.00 ,4.50 ,11.00 ,27.90 ,100.00 ,61.28 ,0.00 ,10.04 ,15.54 ,-30.36 
13.93 ,424.58 ,342.09 ,1.52 ,1.06 ,3.16 ,7.82 ,991233.00 ,0.14 ,86.16 ,544.00 ,8.00 ,6.00 ,37.00 ,6.00 ,5.00 ,31.40 ,31.40 ,35.71 ,0.00 ,17.90 ,31.19 ,-3.18 
44.50 ,187.64 ,165.70 ,0.91 ,1.90 ,5.90 ,7.98 ,9156630.00 ,0.24 ,48.04 ,1339.00 ,7.00 ,4.00 ,35.00 ,43.00 ,8.00 ,23.60 ,88.60 ,75.19 ,652.09 ,10.80 ,13.77 ,-3.29 
20.92 ,332.50 ,282.81 ,1.39 ,1.61 ,1.77 ,14.91 ,1479074.50 ,0.18 ,56.58 ,681.00 ,17.00 ,5.00 ,36.00 ,7.00 ,10.00 ,25.40 ,79.80 ,51.06 ,17.87 ,21.37 ,31.06 ,-13.99 
19.92 ,389.18 ,345.90 ,2.34 ,1.69 ,1.63 ,-4.54 ,908224.00 ,0.14 ,54.04 ,200.00 ,14.00 ,5.00 ,33.00 ,0.50 ,3.00 ,24.40 ,100.00 ,97.41 ,82.62 ,18.97 ,30.74 ,-9.63 
11.45 ,716.90 ,669.20 ,1.32 ,0.94 ,0.54 ,8.96 ,99600.50 ,0.07 ,97.80 ,75.00 ,1.00 ,8.00 ,43.00 ,0.00 ,5.00 ,63.60 ,99.70 ,77.66 ,0.00 ,25.80 ,47.93 ,-31.66 
37.77 ,233.08 ,158.14 ,2.03 ,1.81 ,6.19 ,5.06 ,2354421.50 ,0.48 ,50.69 ,494.00 ,8.00 ,4.00 ,36.00 ,0.00 ,4.00 ,36.90 ,80.10 ,68.45 ,59.33 ,9.34 ,14.21 ,-11.71 
21.58 ,476.34 ,417.67 ,1.22 ,1.09 ,5.81 ,9.32 ,255512.50 ,0.18 ,83.50 ,115.00 ,20.00 ,3.00 ,35.00 ,3.00 ,1.00 ,39.60 ,85.60 ,6.87 ,24.14 ,12.42 ,22.98 ,-25.92 
26.60 ,344.48 ,279.12 ,1.61 ,0.93 ,4.52 ,39.29 ,948725.50 ,0.20 ,98.72 ,378.00 ,11.00 ,7.00 ,38.00 ,7.00 ,5.00 ,47.20 ,48.70 ,82.39 ,64.00 ,15.35 ,26.33 ,-17.72 
18.56 ,567.59 ,481.18 ,0.74 ,1.10 ,10.09 ,13.29 ,247558.50 ,0.15 ,83.14 ,133.00 ,15.00 ,5.00 ,35.00 ,2.00 ,8.00 ,33.80 ,96.20 ,97.20 ,0.00 ,14.30 ,35.06 ,-29.52 
35.96 ,230.37 ,164.21 ,1.48 ,1.03 ,3.09 ,9.29 ,2890797.00 ,0.33 ,88.53 ,679.00 ,2.00 ,4.00 ,34.00 ,28.00 ,8.00 ,36.40 ,61.50 ,50.95 ,337.70 ,11.59 ,22.20 ,-12.69 
23.61 ,303.78 ,221.20 ,1.26 ,1.52 ,2.16 ,24.45 ,1204437.00 ,0.28 ,60.34 ,336.00 ,41.00 ,3.00 ,35.00 ,7.50 ,11.00 ,32.50 ,100.00 ,77.34 ,26.37 ,15.80 ,20.40 ,-13.96 
28.54 ,283.21 ,220.27 ,0.83 ,1.02 ,2.61 ,17.75 ,1241220.00 ,0.24 ,89.79 ,284.00 ,2.00 ,6.00 ,36.00 ,0.00 ,2.00 ,30.50 ,81.50 ,83.22 ,88.53 ,8.08 ,15.94 ,-5.47 
33.37 ,426.01 ,231.80 ,0.75 ,0.66 ,3.57 ,12.70 ,763649.00 ,0.24 ,138.96 ,117.00 ,1.00 ,5.00 ,36.00 ,0.00 ,4.00 ,9.30 ,61.50 ,73.81 ,0.00 ,5.14 ,10.66 ,-20.80 
23.19 ,381.34 ,349.40 ,1.86 ,1.15 ,3.22 ,0.95 ,862245.50 ,0.11 ,79.22 ,198.00 ,6.00 ,4.00 ,35.00 ,17.50 ,2.00 ,42.50 ,100.00 ,89.59 ,67.82 ,13.78 ,24.67 ,-31.44 
28.38 ,325.44 ,213.34 ,1.01 ,0.86 ,15.65 ,16.11 ,245264.00 ,0.35 ,107.79 ,102.00 ,8.00 ,5.00 ,35.00 ,1.50 ,4.00 ,32.80 ,46.20 ,32.00 ,16.93 ,12.93 ,18.95 ,0.54 
21.87 ,343.54 ,305.67 ,1.12 ,2.20 ,1.02 ,18.84 ,271805.50 ,0.21 ,41.42 ,127.00 ,13.00 ,4.00 ,33.00 ,0.50 ,2.00 ,31.20 ,94.00 ,19.92 ,23.54 ,13.76 ,19.90 ,-21.53 
11.10 ,875.48 ,865.80 ,2.96 ,0.00 ,0.41 ,28.69 ,173869.00 ,0.10 ,0.00 ,194.00 ,11.00 ,4.00 ,34.00 ,5.50 ,3.00 ,20.60 ,100.00 ,43.27 ,19.78 ,31.01 ,48.43 ,-25.45 
22.65 ,434.03 ,367.22 ,2.11 ,1.17 ,66.73 ,3.88 ,335710.50 ,0.26 ,77.84 ,142.00 ,3.00 ,3.00 ,34.00 ,15.50 ,2.00 ,39.70 ,93.20 ,44.27 ,33.95 ,11.98 ,19.95 ,91.97 
3.29 ,1155.13 ,1091.21 ,0.82 ,1.34 ,0.23 ,48.99 ,212167.50 ,0.02 ,82.14 ,436.00 ,35.00 ,6.00 ,34.00 ,1.50 ,11.00 ,41.50 ,100.00 ,72.20 ,0.00 ,226.60 ,308.52 ,-65.01 
39.18 ,215.40 ,170.05 ,3.01 ,0.62 ,0.45 ,-8.29 ,1267883.50 ,0.11 ,146.16 ,801.00 ,11.00 ,8.00 ,37.00 ,37.00 ,20.00 ,39.80 ,100.00 ,70.98 ,0.00 ,48.32 ,104.24 ,-14.58 
24.64 ,282.62 ,233.24 ,1.19 ,0.96 ,1.51 ,13.93 ,2068968.00 ,0.13 ,96.33 ,534.00 ,13.00 ,6.00 ,36.00 ,14.50 ,24.00 ,30.30 ,100.00 ,93.31 ,0.00 ,40.73 ,52.71 ,-27.85 
15.01 ,691.33 ,616.87 ,0.81 ,1.51 ,2.26 ,22.52 ,513102.50 ,0.17 ,60.55 ,273.00 ,0.00 ,8.00 ,38.00 ,2.50 ,25.00 ,5.30 ,57.50 ,63.97 ,0.00 ,9.41 ,17.85 ,-2.64 
20.56 ,387.37 ,348.54 ,2.88 ,1.53 ,2.46 ,19.29 ,23004258.50 ,0.17 ,59.74 ,6999.00 ,7.00 ,4.00 ,32.00 ,117.50 ,7.00 ,43.70 ,100.00 ,90.09 ,1714.24 ,24.22 ,31.47 ,-8.63 
18.62 ,416.53 ,340.87 ,1.84 ,1.25 ,1.60 ,11.55 ,1374661.50 ,0.19 ,73.13 ,686.00 ,4.00 ,6.00 ,36.00 ,5.00 ,21.00 ,34.20 ,45.20 ,67.94 ,45.00 ,13.83 ,23.31 ,-12.15 
14.98 ,602.29 ,348.87 ,1.98 ,0.49 ,2.63 ,18.12 ,1138645.00 ,0.17 ,188.82 ,329.00 ,7.00 ,6.00 ,38.00 ,4.00 ,11.00 ,27.90 ,100.00 ,61.60 ,0.00 ,9.41 ,15.95 ,-10.83 
13.21 ,516.73 ,425.65 ,1.55 ,1.14 ,2.51 ,18.77 ,920378.50 ,0.15 ,80.70 ,558.00 ,7.00 ,6.00 ,37.00 ,3.00 ,5.00 ,31.40 ,31.40 ,35.08 ,0.00 ,19.42 ,33.11 ,-3.72 
40.47 ,205.52 ,182.40 ,0.83 ,1.97 ,5.53 ,5.32 ,8672360.50 ,0.24 ,46.40 ,1451.00 ,5.00 ,5.00 ,35.00 ,48.00 ,8.00 ,23.60 ,88.60 ,72.46 ,652.09 ,11.17 ,14.41 ,-4.95 
16.59 ,411.08 ,353.34 ,1.38 ,1.58 ,1.73 ,22.98 ,1417554.50 ,0.18 ,57.68 ,707.00 ,15.00 ,5.00 ,36.00 ,6.50 ,10.00 ,25.40 ,79.80 ,61.05 ,17.87 ,22.80 ,30.61 ,-16.28 
15.38 ,470.24 ,425.86 ,2.02 ,2.15 ,1.83 ,19.70 ,1028664.00 ,0.16 ,44.24 ,214.00 ,12.00 ,5.00 ,33.00 ,0.50 ,3.00 ,24.40 ,100.00 ,97.44 ,82.62 ,18.19 ,30.01 ,16.11 
8.19 ,1476.24 ,1368.11 ,1.10 ,0.66 ,0.44 ,26.54 ,80311.50 ,0.06 ,202.83 ,86.00 ,4.00 ,8.00 ,44.00 ,0.00 ,5.00 ,63.60 ,99.70 ,79.30 ,0.00 ,31.73 ,57.87 ,-37.24 
