A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4
30.38 ,256.11 ,215.54 ,1.40 ,1.40 ,2.95 ,7.94 ,3831760.00 ,0.19 ,65.37 ,634.00 ,58.00 ,3.00 ,34.00 ,19.00 ,25.00 ,34.35 ,99.70 ,95.08 ,48.29 ,24.93 ,32.25 ,35.96 
16.30 ,379.78 ,369.05 ,1.69 ,1.63 ,1.43 ,11.95 ,1305137.00 ,0.19 ,56.17 ,562.00 ,6.00 ,6.00 ,36.00 ,9.00 ,20.00 ,24.05 ,28.70 ,49.88 ,66.35 ,17.14 ,25.35 ,52.27 
17.08 ,418.25 ,416.16 ,2.83 ,0.84 ,7.98 ,-7.86 ,1704969.00 ,0.25 ,109.97 ,318.00 ,2.00 ,5.00 ,37.00 ,2.00 ,9.50 ,28.80 ,100.00 ,52.23 ,76.97 ,7.11 ,12.05 ,119.62 
12.32 ,419.23 ,415.50 ,1.51 ,1.36 ,9.24 ,26.87 ,1053605.00 ,0.15 ,67.47 ,532.00 ,7.00 ,5.00 ,36.00 ,4.00 ,5.50 ,36.50 ,36.50 ,32.90 ,89.80 ,16.60 ,29.25 ,83.72 
39.72 ,175.62 ,180.17 ,0.93 ,2.17 ,4.90 ,10.06 ,7998262.00 ,0.24 ,42.08 ,1268.00 ,9.00 ,4.00 ,34.00 ,41.00 ,8.00 ,26.55 ,83.30 ,73.30 ,759.05 ,10.31 ,14.02 ,95.16 
20.43 ,251.69 ,255.56 ,1.38 ,2.13 ,1.56 ,21.15 ,1448630.00 ,0.19 ,42.91 ,738.00 ,8.00 ,5.00 ,36.00 ,10.00 ,10.00 ,35.80 ,72.10 ,42.58 ,149.55 ,21.58 ,32.07 ,33.40 
19.24 ,375.63 ,366.83 ,2.98 ,3.26 ,2.47 ,28.58 ,1312079.00 ,0.19 ,31.13 ,191.00 ,30.00 ,5.00 ,35.00 ,1.00 ,3.00 ,47.20 ,100.00 ,93.65 ,119.85 ,14.58 ,20.98 ,69.09 
6.59 ,973.99 ,1175.27 ,1.44 ,1.12 ,0.75 ,73.13 ,146087.50 ,0.11 ,83.39 ,76.00 ,13.00 ,7.00 ,42.00 ,3.00 ,3.50 ,63.30 ,100.00 ,80.39 ,11.57 ,17.45 ,33.68 ,34.86 
32.22 ,226.53 ,146.62 ,2.10 ,1.45 ,4.79 ,2.66 ,2140216.00 ,0.52 ,63.09 ,484.00 ,17.00 ,4.00 ,36.00 ,0.00 ,4.00 ,21.50 ,79.90 ,87.12 ,47.07 ,10.24 ,15.34 ,3.60 
19.32 ,317.92 ,371.76 ,1.69 ,0.90 ,3.87 ,1.42 ,891250.00 ,0.20 ,101.38 ,379.00 ,10.00 ,6.00 ,37.00 ,13.00 ,5.00 ,51.10 ,43.20 ,72.23 ,85.26 ,15.64 ,27.84 ,44.67 
17.45 ,458.22 ,465.92 ,0.91 ,1.46 ,15.85 ,5.89 ,412697.50 ,0.25 ,62.93 ,131.00 ,1.00 ,4.00 ,35.00 ,3.00 ,4.50 ,42.15 ,96.10 ,98.06 ,25.50 ,11.55 ,24.28 ,73.88 
27.43 ,227.71 ,225.24 ,1.49 ,1.18 ,4.94 ,34.19 ,2695297.00 ,0.38 ,77.24 ,577.00 ,6.00 ,4.00 ,34.00 ,22.00 ,7.00 ,35.20 ,65.05 ,43.61 ,416.78 ,9.48 ,18.50 ,95.26 
25.50 ,219.30 ,223.55 ,1.21 ,1.47 ,5.34 ,25.46 ,1301554.00 ,0.32 ,62.35 ,314.00 ,26.00 ,4.00 ,36.00 ,9.00 ,8.50 ,26.40 ,97.05 ,78.59 ,53.73 ,13.32 ,17.15 ,20.83 
19.86 ,300.00 ,361.31 ,0.89 ,1.31 ,11.25 ,24.06 ,1123553.00 ,0.24 ,69.90 ,253.00 ,4.00 ,6.00 ,35.00 ,0.00 ,2.50 ,32.70 ,75.70 ,81.69 ,143.89 ,8.11 ,14.47 ,34.63 
24.79 ,330.79 ,200.37 ,0.75 ,0.81 ,9.11 ,9.95 ,828450.00 ,0.28 ,113.26 ,109.00 ,3.00 ,5.00 ,35.00 ,0.00 ,3.00 ,16.35 ,71.80 ,74.41 ,16.09 ,3.44 ,8.41 ,46.47 
17.23 ,496.13 ,466.60 ,2.32 ,1.98 ,3.85 ,24.05 ,1066108.00 ,0.15 ,45.95 ,171.00 ,17.00 ,4.00 ,35.00 ,12.50 ,2.00 ,48.00 ,100.00 ,90.03 ,248.66 ,11.90 ,20.97 ,25.88 
21.13 ,375.38 ,269.35 ,1.03 ,1.19 ,9.29 ,16.52 ,208182.50 ,0.36 ,77.03 ,96.00 ,2.00 ,5.00 ,35.00 ,0.00 ,4.00 ,32.30 ,45.50 ,33.93 ,16.21 ,14.02 ,19.10 ,98.34 
20.45 ,353.91 ,319.78 ,1.26 ,2.38 ,0.89 ,24.71 ,238874.50 ,0.21 ,40.55 ,122.00 ,14.00 ,3.00 ,32.00 ,10.00 ,2.00 ,41.10 ,94.30 ,24.42 ,42.08 ,11.63 ,21.68 ,107.16 
17.24 ,609.74 ,602.38 ,2.54 ,0.00 ,3.13 ,40.35 ,183727.00 ,0.18 ,0.00 ,178.00 ,8.00 ,4.00 ,34.00 ,2.00 ,3.00 ,14.70 ,100.00 ,42.93 ,30.92 ,33.41 ,47.74 ,67.93 
12.28 ,788.03 ,713.59 ,1.85 ,1.04 ,34.02 ,2.90 ,121607.50 ,0.12 ,88.67 ,124.00 ,5.00 ,3.00 ,33.00 ,2.00 ,2.00 ,46.00 ,79.50 ,41.99 ,16.75 ,22.94 ,40.14 ,25.60 
48.64 ,229.35 ,156.08 ,2.18 ,0.75 ,0.46 ,-15.99 ,1379877.00 ,0.11 ,121.56 ,861.00 ,8.00 ,7.00 ,36.00 ,49.00 ,21.00 ,39.90 ,100.00 ,62.73 ,0.16 ,48.98 ,98.57 ,8.80 
28.96 ,284.34 ,212.96 ,1.48 ,1.48 ,2.90 ,8.71 ,3497415.00 ,0.19 ,62.08 ,634.00 ,58.00 ,3.00 ,34.00 ,18.50 ,25.00 ,35.30 ,99.90 ,95.08 ,96.58 ,21.45 ,28.63 ,-3.58 
19.22 ,452.68 ,323.98 ,1.95 ,1.70 ,1.72 ,6.50 ,1549646.00 ,0.21 ,54.21 ,562.00 ,6.00 ,6.00 ,36.00 ,12.50 ,21.00 ,33.70 ,28.10 ,49.88 ,77.50 ,15.09 ,22.56 ,57.50 
21.56 ,499.09 ,334.24 ,2.96 ,0.98 ,9.55 ,11.86 ,2207196.00 ,0.30 ,92.72 ,318.00 ,2.00 ,5.00 ,37.00 ,3.50 ,10.00 ,31.50 ,100.00 ,52.23 ,120.56 ,6.11 ,10.29 ,132.41 
16.17 ,536.84 ,330.70 ,1.63 ,1.33 ,9.80 ,17.53 ,1116550.00 ,0.15 ,69.87 ,532.00 ,7.00 ,5.00 ,36.00 ,5.00 ,5.00 ,34.50 ,34.50 ,32.90 ,69.21 ,16.35 ,28.52 ,22.98 
45.65 ,194.21 ,160.02 ,0.97 ,2.19 ,5.61 ,1.40 ,9031245.00 ,0.25 ,41.68 ,1268.00 ,9.00 ,4.00 ,34.00 ,33.50 ,8.00 ,24.40 ,86.30 ,73.30 ,808.94 ,9.79 ,13.28 ,77.88 
24.86 ,302.79 ,220.17 ,1.45 ,2.00 ,1.77 ,11.02 ,1614431.00 ,0.20 ,45.60 ,738.00 ,8.00 ,5.00 ,36.00 ,7.50 ,10.00 ,32.80 ,76.50 ,42.58 ,128.34 ,19.62 ,29.32 ,35.33 
22.23 ,448.30 ,322.18 ,2.61 ,2.10 ,2.22 ,10.99 ,1185004.00 ,0.16 ,43.44 ,191.00 ,30.00 ,5.00 ,35.00 ,1.00 ,3.00 ,45.20 ,100.00 ,93.65 ,116.93 ,16.37 ,24.81 ,33.57 
9.89 ,1330.59 ,854.77 ,1.40 ,1.16 ,0.77 ,49.00 ,148755.00 ,0.10 ,79.91 ,76.00 ,13.00 ,7.00 ,42.00 ,2.00 ,4.00 ,62.90 ,100.00 ,80.39 ,10.90 ,16.64 ,32.92 ,20.50 
